시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
1406,1174000000,110,서울특별시,강동구,일자산 그린웨이캠핑장,1174010600,1174070000,서울특별시 강동구 천호대로206길 87(둔촌동),5022,127.15294,37.536223,213517.2591,548535.4484
1407,1153000000,59,서울특별시,구로구,오남중학교 운동장,1153010800,1153078000,서울특별시 구로구 오리로9길 25(오류동),2546,126.836069,37.487101,185501.8502,543085.1421
1408,1150000000,73,서울특별시,강서구,배다리공원,1150010300,1150054000,서울특별시 강서구 화곡동 341-24,1630,126.848293,37.532123,186591.0084,548080.225
1409,1153000000,30,서울특별시,구로구,구일초등학교 운동장,1153010200,1153052000,서울특별시 구로구 구일로 68(구로동),3340,126.873008,37.49271,188769.5823,543702.6019
1410,1150000000,95,서울특별시,강서구,내촌어린이공원,1150011000,1150064000,서울특별시 강서구 개화동 551-26,1091,126.80137,37.577598,182454.2159,553135.0954
1411,1150000000,96,서울특별시,강서구,신대부석공원,1150011000,1150064000,서울특별시 강서구 개화동 411,714,126.798865,37.582875,182234.2342,553721.2223
1412,1130500000,37,서울특별시,강북구,소귀어린이공원,1130510300,1130563500,서울특별시 강북구 수유동 25-1,881,127.018659,37.638588,201646.9069,559885.9458
1413,1153000000,60,서울특별시,구로구,온수초등학교 운동장,1153011000,1153079000,서울특별시 구로구 부일로 893(온수동),4114,126.825992,37.49368,184611.9371,543816.8881
1414,1154500000,63,서울특별시,금천구,골말공원,1154510100,1154551000,서울특별시 금천구 가산동 28-2,1158,126.884539,37.482915,189788.0198,542614.1354
1415,1150000000,98,서울특별시,강서구,백석어린이공원,1150010200,1150052000,서울특별시 강서구 공항대로57길 31(등촌동),928,126.863526,37.552609,187940.7014,550351.8368
1416,1153000000,61,서울특별시,구로구,삼각어린이공원,1153010200,1153052000,서울특별시 구로구 구로동 47,1205,126.891977,37.501392,190448.2312,544664.05
1417,1141000000,51,서울특별시,서대문구,인창고등학교 운동장,1141010100,1141056500,서울특별시 서대문구 경기대로 65(충정로2가),10537,126.963624,37.565066,196786.2233,551726.3123
1418,1168000000,150,서울특별시,강남구,포이초등학교 운동장,1168010300,1168069000,서울특별시 강남구 개포로22길 87(개포동),4200,127.052497,37.475582,204643.568,541795.3485
1419,1154500000,64,서울특별시,금천구,무아래공원,1154510100,1154551000,서울특별시 금천구 가산동 234-29,821,126.893259,37.473351,190558.032,541551.7871
1420,1130500000,65,서울특별시,강북구,한빛어린이공원,1130510100,1130553400,서울특별시 강북구 솔매로41길 48(미아동),1055,127.022849,37.627738,202016.9519,558681.7853
1421,1130500000,62,서울특별시,강북구,운산어린이공원,1130510100,1130553400,서울특별시 강북구 도봉로72길 28(미아동),995,127.025561,37.632088,202256.2119,559164.7064
1422,1154500000,65,서울특별시,금천구,소망어린이공원,1154510200,1154561000,서울특별시 금천구 독산로75길 12-7 (독산동),788,126.901506,37.46948,191287.0661,541121.3344
1423,1154500000,66,서울특별시,금천구,조마공원,1154510100,1154551000,서울특별시 금천구 시흥대로149가길 6(가산동),821,126.895727,37.475573,190776.6025,541798.1939
1424,1147000000,71,서울특별시,양천구,신남중학교 운동장,1147010300,1147057000,서울특별시 양천구 중앙로29길 109(신월동),2227,126.847919,37.520542,186555.8707,546794.9048
1425,1147000000,72,서울특별시,양천구,신장어린이공원,1147010300,1147057000,서울특별시 양천구 오목로9길 20-1 (신월동),841,126.842781,37.524294,186102.3356,547212.1038
1426,1147000000,73,서울특별시,양천구,양강중학교 운동장,1147010300,1147057000,서울특별시 양천구 신월동 499-2,6924,126.849523,37.524309,186698.3551,547212.7401
1427,1147000000,74,서울특별시,양천구,양강초등학교 운동장,1147010300,1147057000,서울특별시 양천구 오목로 101(신월동),4472,126.848027,37.524035,186565.9815,547182.5727
1428,1147000000,75,서울특별시,양천구,경인어린이공원,1147010300,1147056000,서울특별시 양천구 신월동 196,1012,126.828872,37.532113,184874.4378,548082.0628
1429,1147000000,76,서울특별시,양천구,남부어린이공원,1147010300,1147058000,서울특별시 양천구 가로공원로56길 30(신월동),910,126.826097,37.534768,184629.7165,548377.1929
1430,1147000000,77,서울특별시,양천구,서서울호수공원 내 열린풀밭,1147010300,1147058000,서울특별시 양천구 남부순환로64길 26(신월동),5061,126.832122,37.527666,185160.8012,547587.9522
